SRS	ODS	RDS	OPT
-0.1376774	-0.0622407	-0.02985281	-0.05372041
-0.06845224	-0.1165958	-0.05719451	-0.09024029
0.1058229	-0.09340164	-0.1035395	-0.07114459
0.08702319	-0.08916771	-0.02078848	0.01259284
0.1197785	0.07727104	0.04767193	0.02232383
0.05604007	-0.07604736	-0.0146067	0.01734646
-0.292637	-0.04566111	0.019871	-0.0006733927
0.1760242	0.09455053	0.121908	0.07641288
-0.01005084	0.1253941	0.1365152	0.1243568
0.1516109	0.07281953	-0.004924934	0.04297409
-0.1462772	-0.0331309	-0.0005987634	0.02917999
0.04511677	-9.933227e-05	0.05301327	0.07756942
-0.2388946	0.004818019	0.0332352	0.0542189
-0.03863392	-0.09566288	-0.06055402	-0.08611559
-0.1109342	-0.0281526	-0.05820959	-0.04799937
0.1191895	-0.2037319	-0.01815634	-0.04859156
-0.09703651	-0.1356463	-0.1081556	-0.0878942
0.1442232	0.02377619	0.05889663	0.05117743
-0.03831791	-0.1227356	-0.0558206	-0.005814728
0.005983976	0.01116698	-0.0026258	0.06826374
-0.05218501	-0.01362361	-0.01089137	-0.07806141
-0.09302038	0.08209643	-0.003366601	-0.00752442
0.1709728	0.03967667	-0.001520572	-0.03187967
0.07011972	0.088429	0.03630787	0.05167838
0.06530562	-0.03621031	-0.102259	-0.1586584
-0.186919	-0.09247804	-0.01310815	-0.08920077
-0.01064568	-0.01219743	0.07083097	0.03755671
-0.01175436	-0.06381392	-0.0008885463	-0.007222534
0.05335141	0.1465757	0.1135695	0.09996729
0.07408027	-0.0723304	0.01359433	-0.03586108
-0.09277978	0.1633029	0.06028656	0.08918125
-0.09143389	-0.04108612	0.01284055	0.04207294
-0.02810123	0.04723824	-0.04025718	-0.02607766
0.1170662	0.08953452	-0.01941223	-0.0009531145
-0.08110607	-0.1471778	-0.06425578	-0.04351267
-0.1371227	0.06705664	0.09755795	0.05611703
-0.1336155	0.07365834	0.06311338	0.07868002
0.02507492	-0.02280119	-0.01888642	-0.0642897
0.2577065	-0.01476613	-0.0148109	-0.01290779
-0.08317247	0.021671	0.04482659	0.02059796
-0.09344212	0.02926666	0.01076378	0.002480723
-0.08913496	-0.04676716	-0.02136253	-0.05191279
0.2486716	0.01871054	-0.001957794	0.03612824
-0.1098527	-0.05659921	-0.09480838	-0.05094625
-0.3061643	0.05461077	0.01598869	-0.01405966
0.04648498	-0.01203795	-0.07966591	-0.09174835
-0.1120272	-0.03416418	0.008102775	0.007814652
-0.03348091	-0.005961983	0.03951721	-0.02743265
0.08430342	-0.08858574	-0.04918476	-0.04635494
-0.0751443	0.154845	0.05753448	0.08561836
0.08029437	0.05153857	0.01659696	0.02418821
-0.03159833	0.003262116	-0.09999863	-0.04496394
-0.387783	0.06143909	0.0007927561	0.008826193
0.06205135	-0.1366767	-0.03409139	-0.01029052
-0.05587987	-0.01913668	-0.03469244	-0.06407325
0.06139235	-0.1040563	-0.02952882	-0.08062884
0.08575355	0.0526238	0.06211424	0.0548337
0.02770114	0.2703969	0.1122448	0.1168032
0.07779141	0.05492672	0.004673033	0.04244429
0.1270785	-0.01603534	0.003104979	0.01697761
-0.08900856	0.03848183	0.009645606	-0.02213291
0.07841497	-0.02912998	0.04649777	0.01024492
0.2076299	0.08322856	0.01929783	0.03910107
0.1557854	0.1112767	0.08681542	0.06880409
0.107981	0.07712185	-0.01354746	0.09347673
0.01998201	0.1205419	-0.0529707	-0.02108275
-0.1042086	0.04217161	-0.05587037	-0.05643114
0.03671586	0.05507135	-0.01860655	0.05321056
0.03023529	-0.01060743	0.1004024	0.07026175
-0.01667469	0.06732087	-0.005505039	-0.04089735
0.02481537	0.04571409	0.01187979	-0.03352914
