SRS	ODS	RDS	OPT
0.283569	0.2563958	0.2609701	0.2609701
0.2794874	0.3063555	0.2828258	0.2828258
0.3419063	0.3391493	0.326478	0.326478
0.1533725	0.3285869	0.3120564	0.3120564
0.3829893	0.3602233	0.326903	0.326903
0.4118709	0.2550498	0.3099268	0.3099268
0.3013354	0.3328041	0.3265204	0.3265204
0.2183938	0.3132504	0.3345375	0.3345375
0.4683862	0.3759776	0.3400255	0.3400255
0.4367114	0.3676823	0.3601199	0.3601199
0.305717	0.3481293	0.3454986	0.3454986
0.2421977	0.2838128	0.2639972	0.2639972
0.4523561	0.2674893	0.2263959	0.2263959
0.2044517	0.2523112	0.2904884	0.2904884
0.346468	0.2420733	0.2551397	0.2551397
0.1396796	0.3451894	0.3391174	0.3391174
0.4227106	0.3135049	0.3218129	0.3218129
0.2879913	0.3055694	0.3144626	0.3144626
0.5318089	0.3595867	0.3830463	0.3830463
0.2692121	0.2783443	0.2801487	0.2801487
0.307607	0.3155459	0.2830803	0.2830803
0.4324643	0.2484796	0.2274421	0.2274421
0.3639224	0.2713473	0.2757358	0.2757358
0.2527166	0.2266116	0.25449	0.25449
0.396731	0.311345	0.2899843	0.2899843
0.3187697	0.2747313	0.3048791	0.3048791
0.2479407	0.3043161	0.2974446	0.2974446
0.1424391	0.2401102	0.2266249	0.2266249
0.4209996	0.4116883	0.3466137	0.3466137
0.2899372	0.2552516	0.2798417	0.2798417
0.354524	0.3212349	0.3231539	0.3231539
0.3151689	0.3601148	0.3479875	0.3479875
0.3856039	0.3831728	0.3518718	0.3518718
0.2345363	0.3639509	0.3849032	0.3849032
0.1503888	0.2417608	0.2327903	0.2327903
0.3538231	0.2674846	0.2654771	0.2654771
0.3867692	0.2907583	0.262025	0.262025
0.5075744	0.2090848	0.2346524	0.2346524
0.4081732	0.4354507	0.3909399	0.3909399
0.1516545	0.3490086	0.3557919	0.3557919
0.4225921	0.3704628	0.3737327	0.3737327
0.4701817	0.2712504	0.2561893	0.2561893
0.323891	0.2476195	0.2135797	0.2135797
0.2449079	0.1983759	0.2662261	0.2662261
0.3433626	0.2746347	0.2860443	0.2860443
0.2674282	0.3113272	0.2862189	0.2862189
0.1294631	0.206887	0.2222048	0.2222048
0.2388585	0.179209	0.2412346	0.2412346
0.2879202	0.336135	0.350894	0.350894
0.2537436	0.2117747	0.2554532	0.2554532
0.4241191	0.4374145	0.3397559	0.3397559
0.3038161	0.290441	0.2856311	0.2856311
0.1660837	0.3005092	0.3487155	0.3487155
0.226531	0.4458805	0.4209018	0.4209018
0.3311044	0.3614982	0.2870314	0.2870314
0.1710388	0.3137467	0.3055367	0.3055367
0.2167733	0.2030456	0.2431325	0.2431325
0.2777145	0.2304865	0.2144127	0.2144127
0.112902	0.2218135	0.2599118	0.2599118
0.2811463	0.2772848	0.2729568	0.2729568
0.3021563	0.3713943	0.4135281	0.4135281
0.1595147	0.1999377	0.2672182	0.2672182
0.3707328	0.2731505	0.3576402	0.3576402
0.2638074	0.3321107	0.3364499	0.3364499
0.2952273	0.275874	0.2592886	0.2592886
0.3197232	0.2388255	0.2273825	0.2273825
0.3081669	0.22643	0.2322922	0.2322922
0.3765559	0.315029	0.3650924	0.3650924
0.3239425	0.3061377	0.2550495	0.2550495
0.2702015	0.2202479	0.2268135	0.2268135
0.190674	0.213505	0.2121888	0.2121888
0.3182541	0.3733299	0.326167	0.326167
0.3294068	0.3094941	0.3104878	0.3104878
0.1855545	0.1795781	0.23342	0.23342
0.2583201	0.2724322	0.2721773	0.2721773
0.363182	0.2562111	0.2443131	0.2443131
0.08098572	0.2169271	0.2533253	0.2533253
0.2268366	0.2936931	0.3056634	0.3056634
0.2893474	0.26801	0.2231709	0.2231709
