SRS	ODS	RDS	OPT
0.1223372	0.05851633	0.05855367	0.05510371
0.1270614	0.05669502	0.05665351	0.05397978
0.1204978	0.05654841	0.05658371	0.05371167
0.1194159	0.05788394	0.05785563	0.05475089
0.1183505	0.05748737	0.05748737	0.05433774
0.1213197	0.0596582	0.05966825	0.05606612
0.1140081	0.05629162	0.05624217	0.05380855
0.120727	0.05700113	0.05682802	0.05384685
0.1211899	0.05808171	0.05806994	0.05481343
0.117824	0.05788576	0.05784497	0.05475791
0.117047	0.05619522	0.05604768	0.05328126
0.1282418	0.057441	0.05747913	0.0545387
0.1180873	0.05955241	0.05955241	0.05599065
0.1230204	0.05904098	0.05904098	0.05577616
0.1186654	0.05599816	0.05588677	0.0532647
0.1162827	0.05712794	0.05705548	0.05428816
0.1200483	0.05688394	0.05692945	0.05403776
0.122386	0.05836084	0.05840367	0.05514697
0.1225919	0.05804353	0.05800661	0.05478275
0.1212739	0.05878141	0.05878141	0.0553732
0.1201484	0.05706329	0.05692054	0.05419464
0.1298133	0.05755355	0.05755327	0.05439014
0.1269083	0.0593795	0.0593795	0.05608075
0.1205952	0.05838068	0.05832043	0.05514074
0.1313172	0.05885117	0.05867282	0.05555915
0.1231872	0.05972578	0.05957238	0.05606918
0.1226773	0.05709278	0.05721448	0.05440528
0.1107264	0.0555367	0.05559341	0.05278393
0.1289294	0.06175547	0.06179697	0.05797022
0.1222904	0.05562449	0.05566691	0.05309736
0.1187692	0.05612395	0.05614631	0.05337198
0.1261483	0.05632773	0.05638538	0.05355821
0.1164309	0.05603334	0.05600841	0.0531806
0.1128759	0.05740789	0.05744483	0.05424663
0.1243743	0.05865244	0.0583856	0.05512431
0.1167859	0.05951232	0.05955459	0.05620257
0.1196964	0.05826437	0.05794871	0.05494681
0.1135717	0.0576491	0.05772089	0.05463291
0.1154732	0.05786777	0.05785053	0.0549096
0.1230723	0.05659978	0.05670722	0.05386368
0.1195039	0.05791264	0.05788936	0.0547571
0.1190902	0.05759317	0.05756123	0.05429192
0.1257311	0.05714113	0.05706469	0.05408638
0.1282433	0.0579248	0.05789012	0.05472481
0.1167544	0.05775362	0.05741021	0.05469112
0.1217347	0.05969638	0.05955302	0.0560079
0.1215044	0.05614708	0.05600791	0.0533885
0.1274253	0.05865725	0.05843931	0.05516244
0.1197231	0.0574885	0.05747476	0.0543639
0.121488	0.05684121	0.05655658	0.05359706
0.1184752	0.05759929	0.05759929	0.05448859
0.1146574	0.05568967	0.05561282	0.05287683
0.1228301	0.0564374	0.0563981	0.05368672
0.1208128	0.05921659	0.05924743	0.05596055
0.1163372	0.0567783	0.05673367	0.05384829
0.1216762	0.05661971	0.05675245	0.053619
0.1203773	0.05680949	0.05680949	0.05372366
0.1191366	0.05768614	0.05769781	0.05461868
0.1243978	0.0570482	0.05701237	0.05393904
0.1229652	0.05828252	0.05829494	0.05504571
0.1194241	0.05948829	0.05940755	0.05603151
0.1219747	0.05655729	0.05651838	0.05354784
0.123947	0.05810578	0.05810578	0.05507419
0.1212013	0.05598998	0.0560006	0.05309063
0.1200455	0.05828417	0.05828417	0.05525179
0.1241533	0.05843542	0.05811281	0.05486171
0.1224945	0.05970881	0.05963137	0.0563652
0.1220831	0.05821054	0.05825317	0.05519165
0.1165844	0.05794172	0.05772592	0.05484056
0.1229359	0.056645	0.05661344	0.05394075
0.1230983	0.05650125	0.05646133	0.05361162
0.1190845	0.05780377	0.05780377	0.05492144
0.1187292	0.05772773	0.05758316	0.05444407
0.1219602	0.05847649	0.05832148	0.05529809
0.1323597	0.05856862	0.05838823	0.05491426
0.1188556	0.05640014	0.0564876	0.05376698
0.125836	0.05652376	0.05643037	0.05339241
