SRS	ODS	RDS	OPT
0.1110702	0.06641065	0.05521372	0.05251701
0.124664	0.06818204	0.05683173	0.05412833
0.1277358	0.07155688	0.05701478	0.05373351
0.1222429	0.06713495	0.05624766	0.05327284
0.1090681	0.06432091	0.05493586	0.05240549
0.1168913	0.07002726	0.05561503	0.05281935
0.118258	0.06943228	0.05687352	0.05367177
0.1196262	0.0718486	0.05676242	0.05377922
0.1126675	0.06657069	0.05542224	0.05261722
0.1142341	0.07180663	0.05671021	0.05379501
0.1159448	0.06522767	0.05494896	0.05217608
0.1288547	0.07148488	0.05803348	0.05463186
0.1216425	0.07009533	0.05686824	0.053707
0.1130751	0.0633541	0.05467217	0.05210899
0.1181618	0.06688327	0.05684814	0.05351184
0.1206697	0.0700863	0.05620749	0.05305502
0.1171489	0.06888048	0.05535874	0.05263672
0.1211332	0.069006	0.05666344	0.05368983
0.1217879	0.07284793	0.05780779	0.05453917
0.1259287	0.06900425	0.05765919	0.05432935
0.1171662	0.0677786	0.05606014	0.05287381
0.1218752	0.06792027	0.05624512	0.05303556
0.1118936	0.06950227	0.0558747	0.05282759
0.1196879	0.06921296	0.05595759	0.05325632
0.1247586	0.06403233	0.05727876	0.05418915
0.1203439	0.06751467	0.05623438	0.05318091
0.1153784	0.06640177	0.05605908	0.05307358
0.1104646	0.06843804	0.05659358	0.05358991
0.1233019	0.06896294	0.05617662	0.05310768
0.1085437	0.06364474	0.055199	0.05232689
0.1160451	0.07092216	0.05634922	0.05344741
0.1182925	0.06594586	0.05467783	0.05202045
0.1184496	0.06869061	0.05666096	0.05321635
0.1080312	0.06957118	0.05692224	0.05390803
0.119762	0.06688962	0.05692085	0.05391076
0.1204634	0.06677116	0.0559973	0.05331214
0.1215401	0.07280517	0.05673846	0.05360776
0.1192513	0.06601125	0.05624088	0.05337986
0.1203297	0.06766951	0.05585344	0.05299192
0.1160374	0.06611198	0.05475715	0.05191584
0.1214922	0.06820413	0.05704015	0.05397615
0.1146767	0.07224436	0.0571909	0.05378163
0.1297079	0.07181211	0.05599315	0.05316312
0.118883	0.0689493	0.0561212	0.05331409
0.1181008	0.0626269	0.05560678	0.05262827
0.1103535	0.06336313	0.05400863	0.05144453
0.1174372	0.0651045	0.05691253	0.05368284
0.1215048	0.06341304	0.05529587	0.05222403
0.1141878	0.06823471	0.05615236	0.05329321
0.1247217	0.06894625	0.05513344	0.05260756
0.1136909	0.06448244	0.05614112	0.05319209
0.1191504	0.06442013	0.05587109	0.0531322
0.1228237	0.07020312	0.05702885	0.05379199
0.1202317	0.06870062	0.05774296	0.05423734
0.1132484	0.06589061	0.05488233	0.05202334
0.1165743	0.07018771	0.05729179	0.05380897
0.1176468	0.06276968	0.0539205	0.05086345
0.1164462	0.07104883	0.05758429	0.05397899
0.1178462	0.06221199	0.05344359	0.05071124
0.1185483	0.0699579	0.05486857	0.05209986
0.1143872	0.06673345	0.05692425	0.05404148
0.1267263	0.06488972	0.05492464	0.05219545
0.113323	0.06861622	0.05595458	0.05292993
0.1153898	0.0708904	0.05616543	0.05302839
0.1242309	0.06524832	0.05615732	0.05328538
0.1155571	0.0620413	0.05601209	0.05285618
0.1172534	0.06308618	0.0554207	0.05254214
0.1172768	0.06763349	0.05502166	0.05215811
0.1148075	0.06989988	0.05638446	0.0532928
0.1297796	0.07269737	0.0576893	0.05441707
0.1134978	0.06243198	0.05440001	0.05142721
0.1133591	0.06942187	0.05682722	0.05409993
0.1082636	0.07484758	0.05572826	0.0528746
0.1159906	0.06833855	0.0555962	0.05271278
0.1213285	0.07831398	0.05790233	0.05476577
0.1183433	0.06406249	0.05518187	0.05249528
0.1143683	0.06681501	0.05435807	0.05151705
0.1160277	0.0647441	0.05531701	0.05269158
0.1181723	0.07353361	0.05747963	0.05446881
0.1152999	0.06963503	0.0555416	0.05242818
0.1194184	0.07079706	0.05620796	0.05317233
0.1139038	0.06785897	0.05625206	0.05300101
0.1242093	0.0661488	0.05600136	0.05333834
0.1222156	0.07334663	0.05787724	0.05467218
0.1198199	0.0730147	0.05789713	0.0545316
0.1139803	0.06722883	0.05677361	0.05360699
0.1217373	0.06589144	0.05501634	0.05209146
0.1165958	0.06987185	0.05472659	0.05192185
0.1046412	0.06380708	0.05419784	0.05171588
0.1215129	0.06808035	0.05654447	0.05329051
0.1178344	0.06927319	0.05655549	0.05337212
0.1182362	0.07350054	0.05709746	0.05382134
0.1168777	0.06342338	0.05537459	0.05243395
0.1114358	0.07000925	0.05646417	0.0535393
0.1159422	0.06967688	0.05628479	0.05342302
0.1155015	0.0720618	0.05733343	0.05399761
0.122349	0.06906229	0.0554208	0.05267854
0.1204963	0.06297859	0.05550143	0.05292383
0.1135154	0.06514701	0.05516958	0.05255168
0.1142366	0.06666346	0.05549062	0.05266033
0.1232882	0.06698554	0.05632209	0.05330344
0.1176512	0.06866037	0.05648623	0.05330764
0.1270449	0.06949869	0.05699096	0.05372654
0.1295979	0.06518111	0.05552375	0.0530405
0.1155277	0.06692152	0.05553092	0.0528615
0.1156762	0.06512946	0.05662286	0.05372936
0.1203461	0.06560704	0.05551352	0.05262009
0.115565	0.06597247	0.05600106	0.05336823
0.1192663	0.07126382	0.05674194	0.05392252
0.117091	0.06852449	0.05583632	0.05287065
0.1171655	0.06910533	0.05744494	0.05438505
0.1277052	0.07131698	0.05909079	0.05544875
0.1159914	0.06594394	0.05387159	0.05128819
0.1179272	0.06912416	0.05577156	0.05292071
0.1192745	0.07096157	0.05701567	0.05378732
0.1136494	0.06769799	0.05489257	0.05236943
0.1189641	0.06133449	0.05519681	0.05216559
0.1250693	0.06673397	0.05541129	0.05281063
0.1167947	0.06925072	0.05634295	0.05309286
0.1241073	0.07143362	0.05576667	0.05290045
0.1184486	0.0681293	0.0564902	0.0533304
0.1229309	0.06395184	0.05392915	0.05132443
0.1213392	0.06821193	0.05687034	0.05396077
0.1081814	0.06552951	0.05482778	0.05208073
0.1137322	0.06870512	0.05665437	0.05353649
0.1271899	0.07145942	0.05682762	0.05379505
0.1273262	0.07034508	0.05607688	0.05322451
0.1156658	0.06856115	0.05768118	0.05433084
0.1189918	0.06831161	0.05601641	0.0529461
0.1187175	0.06763832	0.05696448	0.05396609
0.11549	0.06371245	0.05458719	0.05198019
0.1094492	0.06840698	0.05519455	0.05231246
0.1150845	0.06727931	0.05519522	0.05230059
0.1178205	0.06707574	0.05591182	0.05285655
0.12149	0.06722672	0.05540126	0.05259291
0.1162651	0.06902696	0.05545005	0.05241373
0.1288691	0.07108116	0.05748339	0.05450901
0.1226286	0.06430793	0.05483764	0.05189525
0.1137203	0.0730039	0.0579461	0.05455174
0.1120878	0.07031182	0.05658978	0.05322509
0.1181734	0.06378753	0.05500036	0.05243057
0.1150931	0.06645842	0.05593413	0.0526022
0.1183914	0.07032278	0.05692879	0.05396812
0.1205077	0.06485377	0.05484812	0.05207686
0.1117488	0.06611773	0.05353286	0.05091185
0.1098088	0.06485718	0.0545807	0.05173707
0.1182269	0.06942032	0.05504984	0.05195168
0.1093977	0.06239834	0.05376403	0.05124453
0.1165379	0.07384407	0.05763496	0.05412591
0.1267423	0.06620342	0.05694064	0.05378225
0.1097442	0.06834146	0.05579739	0.05290124
0.1256061	0.07330354	0.05644268	0.05324471
0.1081204	0.06195734	0.05503514	0.05228691
0.1146041	0.06486141	0.05466034	0.05204613
0.1174096	0.06805548	0.05625534	0.05329275
0.1143678	0.07102971	0.05664454	0.05352315
0.1165182	0.0680249	0.05671737	0.05398396
0.1131871	0.06611411	0.05461324	0.05196936
0.1181503	0.07067934	0.05737128	0.05454953
0.1187239	0.06929326	0.05625743	0.05327439
0.1191448	0.06680167	0.05622691	0.05322495
0.1181038	0.07484472	0.05922183	0.0556862
0.1232056	0.06913378	0.05739523	0.05398639
0.1161446	0.06599588	0.05538477	0.0525369
0.1179318	0.07115438	0.05548926	0.05277281
0.1202413	0.06360421	0.05527245	0.05268949
0.1263481	0.06687697	0.056333	0.05312226
0.1237508	0.06896974	0.05600051	0.05309856
0.1148921	0.06600642	0.05354294	0.05084015
0.1225747	0.06587829	0.0556696	0.05251392
0.127485	0.06502477	0.05687663	0.05389443
0.1213715	0.06612717	0.05536744	0.05251656
0.1240923	0.07181914	0.05557325	0.05278252
0.1241792	0.06674769	0.05646887	0.05346377
0.1217993	0.06789374	0.05583807	0.05288613
0.1140924	0.06399672	0.05522497	0.0524112
0.1176077	0.06284794	0.05352241	0.05119312
0.120166	0.06392594	0.0551804	0.05253462
0.1103201	0.07078884	0.05484958	0.05188092
0.1175381	0.06882718	0.0560438	0.05327736
0.1226345	0.06576092	0.05584298	0.05297121
0.1199105	0.06891884	0.05515632	0.05219002
0.1166342	0.06810101	0.05559636	0.05265635
0.1180816	0.06837328	0.05491838	0.05235727
0.119326	0.07220717	0.05754848	0.05431863
0.1180154	0.06856871	0.05736639	0.05440929
0.1157184	0.06759001	0.05680993	0.05406215
0.1123227	0.07082371	0.05620689	0.05328176
0.1175241	0.06725408	0.05599895	0.05266954
0.1223539	0.06251102	0.05516941	0.05265692
0.1156028	0.06598079	0.05490713	0.05221056
0.1223272	0.07104128	0.05693142	0.05392755
0.1172961	0.07001714	0.05674087	0.05363174
0.1229776	0.06930056	0.05665191	0.05377481
0.1252818	0.07104784	0.05571442	0.05282625
0.1164775	0.06875327	0.05647176	0.05337347
0.1098607	0.06722054	0.05464106	0.05172073
0.1159325	0.06823484	0.05548224	0.05254591
0.1226782	0.065131	0.05594069	0.05287324
0.1192913	0.06495471	0.05559459	0.0529844
0.1122542	0.06859687	0.05700032	0.05382079
0.1135285	0.06668714	0.05554146	0.05265869
0.1173656	0.07045718	0.05572442	0.05289151
0.1181954	0.06535622	0.05564026	0.05270043
0.1216963	0.07327643	0.05799545	0.05455337
