SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.06113509	0.04326167	0.02982862	0.02773767	0.04492209	0.03493737	0.04712865	0.03209252
0.06076894	0.04689213	0.02942194	0.02724234	0.04297282	0.03409256	0.03153947	0.03143573
0.06464846	0.05587805	0.02940877	0.02732228	0.04353001	0.03406399	0.04737674	0.03131442
0.05870574	0.04667611	0.02973589	0.02755057	0.04277725	0.03465494	0.03585677	0.03169173
0.06434179	0.05389852	0.03024192	0.02822033	0.04467533	0.03653176	0.05330497	0.03331541
0.06254082	0.04728494	0.03023217	0.02823255	0.04443807	0.03528987	0.03819647	0.03251629
0.06511146	0.0446334	0.02932486	0.02750515	0.04331634	0.03418353	0.047112	0.03161786
0.06374592	0.04295694	0.02991753	0.02760546	0.04141152	0.03428215	0.04663081	0.03174937
0.06524911	0.05344105	0.02973954	0.02780795	0.0440955	0.03467869	0.0486992	0.03195524
0.06603519	0.04639287	0.02918822	0.02727153	0.04231862	0.03358834	0.04932455	0.0316175
0.06010169	0.04904895	0.02929836	0.02727095	0.04241397	0.03455512	0.03352732	0.03156215
0.05931192	0.04182491	0.02955845	0.0274671	0.04211454	0.03432722	0.0343794	0.03152032
0.06162765	0.05124486	0.02997565	0.02791521	0.044858	0.03533193	0.04883031	0.03223912
0.06306144	0.04575263	0.02964104	0.027625	0.04749635	0.03462958	0.03372237	0.03215246
0.06290389	0.04259913	0.02898208	0.02700423	0.04023288	0.03376296	0.04546199	0.03094209
0.06734167	0.04327441	0.02955681	0.02770733	0.04119989	0.03439152	0.04804709	0.03167238
0.06202009	0.04076336	0.02957582	0.02769236	0.04033344	0.03434468	0.0395376	0.03175436
0.06416334	0.04610209	0.02942274	0.02752471	0.04163636	0.03431045	0.04913872	0.03194859
0.05857291	0.05403618	0.02958333	0.02751609	0.04326369	0.03466129	0.04874417	0.03163443
0.06153365	0.05163959	0.02950355	0.02733813	0.04304113	0.03439217	0.03179635	0.03179046
0.06880955	0.0477923	0.03008663	0.02790347	0.0468847	0.03493965	0.03257579	0.03225537
0.05821291	0.04534459	0.02868408	0.02685229	0.04371084	0.03397355	0.03115788	0.03115405
0.06486844	0.04585455	0.02960859	0.02742802	0.04091308	0.03448751	0.04310699	0.03153617
