SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.04295193	0.03213712	0.02159168	0.02159168	0.03110892	0.02533951	0.02556053	0.02545286
0.04297648	0.031219	0.02075235	0.02075235	0.02954776	0.02421594	0.02482295	0.02422328
0.04578432	0.03460075	0.02134883	0.02134883	0.03037712	0.02461267	0.02475494	0.02461314
0.04238808	0.03262108	0.02115323	0.02115323	0.03110206	0.02454925	0.02642251	0.02479
0.04598796	0.03243723	0.02150305	0.02150305	0.0309845	0.02539657	0.02705007	0.02585309
0.04340212	0.03109816	0.02166176	0.02166176	0.03163307	0.02511429	0.02547419	0.02515056
0.04688732	0.03338495	0.02135905	0.02135905	0.03095035	0.02502422	0.02512422	0.02506995
0.04542965	0.03522072	0.02135249	0.02135249	0.03051424	0.02491177	0.02579358	0.02503601
0.04631038	0.03588779	0.02145314	0.02145314	0.03131593	0.0249489	0.02635785	0.02497536
0.04744941	0.03315225	0.02145124	0.02145124	0.02954777	0.02487859	0.02690495	0.02522274
0.0444178	0.03184332	0.02102705	0.02102705	0.03007957	0.02478658	0.02634573	0.02484111
0.04397187	0.03623266	0.02166968	0.02166968	0.03168922	0.02533343	0.02794629	0.025358
0.04428661	0.03457413	0.02157736	0.02157736	0.03189408	0.02529448	0.02699903	0.02536763
0.04506139	0.03244387	0.02150944	0.02150944	0.03233533	0.02545842	0.02561023	0.02548266
0.04407662	0.03056827	0.02090226	0.02090226	0.02942737	0.02404787	0.02477727	0.02406389
0.04649686	0.03170404	0.02159349	0.02159349	0.02997787	0.02524744	0.02965414	0.02525401
0.04681028	0.02889883	0.02109097	0.02109097	0.0295189	0.02452738	0.02669474	0.02454317
0.04524263	0.03397877	0.02152099	0.02152099	0.03109214	0.02514384	0.0273311	0.02540823
0.04308232	0.03602738	0.02163831	0.02163831	0.03105488	0.02514808	0.02713176	0.02514841
0.04518005	0.03489988	0.02129254	0.02129254	0.0316466	0.02484979	0.02549589	0.02507418
0.04488962	0.03290332	0.02102128	0.02102128	0.03078842	0.02446216	0.02509088	0.02460184
0.04607705	0.03588911	0.02132668	0.02132668	0.03179005	0.02478066	0.02626346	0.0251978
0.04452664	0.03518863	0.02129884	0.02129884	0.03094468	0.02475381	0.02873867	0.02476542
0.04275704	0.03304638	0.0213392	0.0213392	0.03008271	0.02493459	0.02574707	0.02493588
0.04639276	0.03068172	0.02106312	0.02106312	0.03016886	0.02448944	0.02652876	0.02452634
0.04623817	0.0326348	0.021509	0.021509	0.02868149	0.02490157	0.02664523	0.02496237
0.04255747	0.03189743	0.02136354	0.02136354	0.02967328	0.0248303	0.02557635	0.0248613
0.04342376	0.03131233	0.0214784	0.0214784	0.03102557	0.02521692	0.02955455	0.02522251
0.04436914	0.03008127	0.02118785	0.02118785	0.0290028	0.02446649	0.02648521	0.02447488
0.0471949	0.03295866	0.02147922	0.02147922	0.03031823	0.02486142	0.0259744	0.02491788
0.04298441	0.03104497	0.02093575	0.02093575	0.02913589	0.02408965	0.0250289	0.02462305
0.0459569	0.03484695	0.02106754	0.02106754	0.03035424	0.02437398	0.02520438	0.02452692
0.04297758	0.03052803	0.02115899	0.02115899	0.03021365	0.02459654	0.02614585	0.02477857
0.04549132	0.0288413	0.0212542	0.0212542	0.02979042	0.02476262	0.02591476	0.02476166
0.04629635	0.03019009	0.02132964	0.02132964	0.02974153	0.02462873	0.02622253	0.024625
0.04568478	0.03290406	0.02146842	0.02146842	0.03305586	0.02509915	0.02765742	0.02550962
0.04506752	0.0306719	0.02129963	0.02129963	0.03009658	0.02477559	0.02704811	0.02477581
0.04364534	0.03124436	0.02161238	0.02161238	0.03036989	0.02485284	0.02515773	0.02488326
0.0422233	0.03004636	0.02101697	0.02101697	0.02934774	0.02449894	0.02663573	0.02500352
0.04420258	0.03152765	0.02181324	0.02181324	0.03171241	0.02589733	0.0285469	0.02592001
0.04261449	0.03216495	0.02130756	0.02130756	0.03156725	0.02476554	0.02519485	0.02476648
0.04449766	0.03285111	0.02150934	0.02150934	0.03216115	0.02495518	0.0284059	0.02511567
0.04406393	0.03027192	0.02117502	0.02117502	0.03034735	0.02458242	0.02662522	0.02477308
0.04438924	0.03278203	0.02138224	0.02138224	0.03058761	0.02478699	0.02901433	0.02483454
0.04527664	0.03276894	0.02152425	0.02152425	0.031574	0.02526277	0.02830449	0.02539231
0.04483688	0.03220696	0.02166733	0.02166733	0.03096209	0.02528192	0.02542238	0.02536397
0.0418362	0.03213389	0.02083778	0.02083778	0.02939075	0.02414265	0.02629963	0.02424793
0.04383004	0.03041514	0.02093874	0.02093874	0.02932472	0.02448469	0.02532685	0.02451905
