SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.05748511	0.03163272	0.02858118	0.02662357	0.03570647	0.03327051	0.03075861	0.03072442
0.05836044	0.03069917	0.0276745	0.02586749	0.03490189	0.03222903	0.03030621	0.02981349
0.06101203	0.03291207	0.02828571	0.02632489	0.03582302	0.03220883	0.02997521	0.02995433
0.05710374	0.03113354	0.02825299	0.02617692	0.03544913	0.03274356	0.04529367	0.03014403
0.06234822	0.03323058	0.02879711	0.02685832	0.03698517	0.03429307	0.04669169	0.03155312
0.05906838	0.03291147	0.02876938	0.02685685	0.03658131	0.03352937	0.03111639	0.03110275
0.06216258	0.03236533	0.02817814	0.0263633	0.03593352	0.03283332	0.0302384	0.03034792
0.063375	0.03249651	0.0289672	0.02678232	0.03545684	0.03330488	0.03087	0.03094709
0.06275369	0.03482741	0.02832023	0.02663678	0.0361383	0.03296609	0.03349915	0.03050274
0.06397132	0.0320928	0.02808981	0.02628937	0.03548925	0.03230104	0.03492892	0.03052086
0.05982005	0.03243796	0.0280437	0.02620021	0.03557396	0.03348814	0.03041908	0.03040862
0.05833492	0.03360732	0.028893	0.0267334	0.03642685	0.03339371	0.03106393	0.03076318
0.05971348	0.03321725	0.02884644	0.0268326	0.03690885	0.03356226	0.03267618	0.03107532
0.06205518	0.03300237	0.02871547	0.0267817	0.03735002	0.03391634	0.0313769	0.03137913
0.05977672	0.03152807	0.02793654	0.02595519	0.03429681	0.03233162	0.02982623	0.02980883
0.0653548	0.03185098	0.02901606	0.02690404	0.03491664	0.03375905	0.03244753	0.0309741
0.06061138	0.03179176	0.02811413	0.02635542	0.03410017	0.0326821	0.04394633	0.03032811
0.06051928	0.03191859	0.02800388	0.02636891	0.03549294	0.03287239	0.03351962	0.03055423
0.0553871	0.03342199	0.02826857	0.02651783	0.03634756	0.03303047	0.04210336	0.03042169
0.06115365	0.03238569	0.02769954	0.02595444	0.03581768	0.0324123	0.02997937	0.0300812
0.06441477	0.03286726	0.02839806	0.02652826	0.03690467	0.03292042	0.03061343	0.03059183
0.0567385	0.03111773	0.02746667	0.02572743	0.03602539	0.03205921	0.02975925	0.02975925
0.06152775	0.03420555	0.02862295	0.02655144	0.03608556	0.03380371	0.041219	0.03060052
0.05878763	0.03239881	0.02828625	0.02644721	0.03568401	0.03258966	0.03041722	0.03039953
0.06324945	0.03137666	0.02794357	0.02603131	0.03434883	0.03201142	0.02982045	0.02981428
0.05909127	0.03249359	0.02896756	0.02664888	0.03430085	0.03301236	0.04147089	0.03045033
0.05711784	0.03114868	0.02831608	0.02641582	0.03560473	0.03290002	0.03049358	0.03043288
0.0575415	0.03281803	0.02844519	0.02661464	0.03530127	0.03308019	0.03563109	0.03062406
0.05812854	0.03084205	0.02796541	0.02617004	0.03322154	0.03170681	0.0310492	0.02982705
0.06442884	0.03359224	0.02925432	0.02720438	0.03791251	0.03435468	0.03142173	0.03142173
0.05795937	0.03105911	0.02720969	0.02564417	0.03334238	0.03121871	0.02927862	0.02950182
0.06047222	0.03253578	0.02776019	0.02588193	0.03477342	0.0317466	0.02948669	0.02948669
0.05903267	0.03063302	0.02759677	0.02588495	0.03439962	0.03215814	0.02975873	0.0297344
0.06157851	0.03193685	0.0288046	0.02683049	0.03473604	0.03349405	0.03299486	0.03070428
0.06374902	0.03107054	0.02857445	0.02653622	0.03478206	0.03293335	0.03059661	0.03055828
0.05886043	0.03178719	0.02814537	0.02633546	0.03525741	0.03279698	0.03035986	0.03036133
0.06081181	0.03012846	0.02790947	0.02604713	0.03427307	0.03269142	0.03012457	0.0301037
0.06103814	0.03229393	0.02868492	0.02683389	0.03510521	0.03339714	0.03071682	0.03067404
